Prefix,Course Code,Course Name,Description,College
PHIL,PHIL3373,"PHIL 3373 Philosophy of Mind (3 semester credit hours) An examination of one or more major issues in the philosophy of mind and of cognitive sciences, such as the mind/body problem, the nature of consciousness, the problem of other minds, the social aspects of mind, the possibility of artificial intelligence, emotions, and the internalism/externalism debate. Prerequisites", (Upper-division standing or any previous PHIL course) or instructor consent required. (3-0) R,"School of Arts, Humanities, and Technology"
PHIL,PHIL3375,"PHIL 3375 Contemporary Ethical Issues (3 semester credit hours) An examination of various ethical problems in contemporary society, against the backdrop of social and political events. Issues may include abortion, capital punishment, sexual morality, world hunger, and war. Prerequisites", (Upper-division standing or any previous PHIL course) or instructor consent required. (3-0) R,"School of Arts, Humanities, and Technology"
PHIL,PHIL3390,PHIL3390,,"School of Arts, Humanities, and Technology"
PHIL,PHIL4308,"PHIL 4308 Theories of Knowledge (3 semester credit hours) A study of central topics in the theory of knowledge, including skepticism and the limits of knowledge, relativism and objectivity, and the role of perception, memory, introspection and reason as sources of knowledge. Prerequisite", Any previous PHIL course. (3-0) R,"School of Arts, Humanities, and Technology"
PHIL,PHIL4321,"PHIL 4321 Philosophy of Medicine (3 semester credit hours) This course will focus on various theories related to the philosophy of medicine. Topics include how historical, social factors, and cultural values influence health care practices. Prerequisite", Any previous PHIL course or HIST 3328 or registered Pre-Health student. (3-0) T,"School of Arts, Humanities, and Technology"
PHIL,PHIL4322,"PHIL 4322 Philosophical Traditions II (3 semester credit hours) This course will be an in-depth study of one or more specific approaches within contemporary philosophical traditions, such as existentialism, phenomenology, pragmatism, process philosophy, analytic metaphysics, radical philosophy, postcolonialism, Buddhism, Daoism, hermeneutics, critical theory, feminism, naturalism, and neurophilosophy. May be repeated for credit as topics vary (6 semester credit hours maximum). Prerequisite", Any previous PHIL course. (3-0) R,"School of Arts, Humanities, and Technology"
PHIL,PHIL4323,PHIL 4323 Ethical Theories (3 semester credit hours) Systematic and/or historical perspectives on central issues in ethical theory. Prerequisite, Any previous PHIL course. (3-0) R,"School of Arts, Humanities, and Technology"
PHIL,PHIL4324,"PHIL 4324 Social and Political Philosophy (3 semester credit hours) Historical or contemporary perspectives on central issues in social and political philosophy, such as theories of justice, the nature of state authority and political obligation, the limits and legitimacy of government and individual liberty. May be repeated for credit as topics vary (6 semester credit hours maximum). Prerequisite", Any previous PHIL course. (3-0) T,"School of Arts, Humanities, and Technology"
PHIL,PHIL4325,"PHIL 4325 Philosophy of Art and Aesthetics (3 semester credit hours) An exploration of the meaning and self-understanding of art. In addition to readings in philosophical aesthetics, this course will also directly consider individual artists, art movements, and individual works of art. By reading and thinking through select theoretical writings about art, the aim of the course will be not only to improve students' interpretations of specific works of art, but also to enhance their ability to reflect critically on the meaning of art's ethical significance. We will focus on art not as a fixed, institutional given, but as an engaged, performative interpretation of the world. May be repeated for credit as topics vary (6 semester credit hours maximum). Prerequisite", Any previous PHIL course. (3-0) T,"School of Arts, Humanities, and Technology"
PHIL,PHIL4326,"PHIL 4326 Major Figures (3 semester credit hours) A study of the major works and central ideas of a major philosopher, such as Plato, Aristotle, Descartes, Cavendish, Kant, Nietzsche, Dewey, Du Bois, Heidegger, Arendt, Rawls, or Nussbaum. May be repeated for credit as figure varies (9 semester credit hours maximum). Prerequisite", Any previous PHIL course. (3-0) R,"School of Arts, Humanities, and Technology"
PHIL,PHIL4327,"PHIL 4327 Great Texts (3 semester credit hours) An in-depth study of a major philosophical text, e.g., Plato's Republic, Heidegger's Being and Time, Nietzsche's Thus Spoke Zarathustra, de Beauvoir's The Second Sex, or Dewey's Experience and Nature. May be repeated for credit as key text varies (9 semester credit hours maximum). Prerequisite", Any previous PHIL course. (3-0) R,"School of Arts, Humanities, and Technology"
PHIL,PHIL4328,PHIL 4328 Philosophy Capstone Project (3 semester credit hours) Independent study under a faculty member's direction in fulfillment of the senior capstone requirement. Student will complete a thesis or capstone project following School requirements. Signature of instructor and Associate Dean on proposed project outline required. Prerequisite, PHIL 3321 and instructor consent required. (3-0) R,"School of Arts, Humanities, and Technology"
PHIL,PHIL4330,"PHIL 4330 Continental Philosophy (3 semester credit hours) This course will deal with major figures in modern continental philosophy (Nietzsche, Heidegger, Gadamer, Benjamin, Arendt, Levinas, Derrida, Foucault, et al.). Content will focus on close textual readings of major European philosophical texts 1870-present and will introduce students to the most important currents within continental thinking - hermeneutics, phenomenology, deconstruction, critical theory, feminism - especially as they concern issues of language, translation, art, literary theory, and ethics. May be repeated for credit as topics vary (6 semester credit hours maximum). Prerequisite", Any previous PHIL course. (3-0) R,"School of Arts, Humanities, and Technology"
PHIL,PHIL4331,"PHIL 4331 Philosophy and Poetry (3 semester credit hours) This course will focus upon a philosophical reading of poetry that tries to grasp philosophy as a kind of poetic thinking. Texts will draw from poets who write in a philosophical register as well as from philosophers whose aim is to offer a new kind of poetic thinking. Interdisciplinary in focus and conceptual structure, the course will consider an approach to the philosophy of language attuned to translation theory, rhetoric, and social-political themes. Prerequisite", Any previous PHIL course or CRWT 3351. (3-0) R,"School of Arts, Humanities, and Technology"
PHIL,PHIL4332,"PHIL 4332 Philosophy of Race (3 semester credit hours) A study of major historical and contemporary concepts and theories of race and racism from several approaches, among which are the philosophy and history of science, existentialism, phenomenology, archaeology of knowledge, biopolitics, postcolonial and decolonial theory, sociology of race, Black or intersectional feminism, liberal political theory, and Critical Theory. The philosophical study of race and racism touches on genocide, colonialism, capitalism and labor, gender, European empires, anti-colonial nationalism, and decolonization. Prerequisite", Any previous PHIL course. (3-0) R,"School of Arts, Humanities, and Technology"
PHIL,PHIL4333,"PHIL 4333 Feminist Philosophy (3 semester credit hours) An examination of major writings by feminist philosophers and theorists. This course may examine the historical development of feminism and/or explore major feminist topics such as oppression, sexism, embodiment, and gender. Questions to be pursued might include"," What is it be a woman? Are women oppressed? How do institutions pertaining to marriage, motherhood, and sex shape the lives of women? In what ways might feminist concerns intersect with current issues in philosophy of race, queer theory, and philosophy of disability? May be repeated for credit as topics vary (6 semester credit hours maximum). Prerequisite: Any previous PHIL course. (3-0) R","School of Arts, Humanities, and Technology"
PHIL,PHIL4341,"PHIL 4341 Early Confucianism (3 semester credit hours) A study of the Confucian philosophical tradition, with a focus on Confucius, Mencius, and Xunzi. Prerequisite", Any previous PHIL course. (3-0) R,"School of Arts, Humanities, and Technology"
PHIL,PHIL4342,PHIL 4342 The Philosophy of Zhuangzi (3 semester credit hours) A study of the philosophy of Zhuangzi. Prerequisite, Any previous PHIL course. (3-0) R,"School of Arts, Humanities, and Technology"
PHIL,PHIL4344,"PHIL 4344 Philosophy of Science (3 semester credit hours) Exploration of one or more current topics in the philosophy of science, such as the nature of scientific explanation, reductionism, the unity of science, the role of values in science, realism and antirealism, the interpretation of quantum mechanics, or the nature of explanation in the natural versus the social sciences. May be repeated for credit as topics vary (6 semester credit hours maximum). Prerequisite", Any previous PHIL course or HIST 3328 or upper-division coursework in the sciences. (3-0) R,"School of Arts, Humanities, and Technology"
PHIL,PHIL4380,PHIL 4380 Topics in Philosophy (3 semester credit hours) May be repeated for credit as topics vary (6 semester credit hours maximum). Prerequisite, Any previous PHIL course. (3-0) R,"School of Arts, Humanities, and Technology"
PHIL,PHIL4V71,PHIL4V71,,"School of Arts, Humanities, and Technology"
PHIL,PHIL4V99,PHIL 4V99 Senior Honors in Philosophy (1-3 semester credit hours) Independent study under a faculty member's direction in fulfillment of the honors capstone requirement. Student will complete a thesis or capstone project following School requirements. Signature of the instructor and secondary reader on proposed project outline required. May be repeated for credit (6 semester credit hours maximum). Prerequisites, PHIL 3321 and instructor consent required. ([1-3]-0) R,"School of Arts, Humanities, and Technology"
RELS,RELS1302,RELS1302,,"School of Arts, Humanities, and Technology"
RELS,RELS1325,RELS1325,,"School of Arts, Humanities, and Technology"
RELS,RELS2314,RELS2314,,"School of Arts, Humanities, and Technology"
RELS,RELS2316,RELS2316,,"School of Arts, Humanities, and Technology"
RELS,RELS2317,RELS2317,,"School of Arts, Humanities, and Technology"
RELS,RELS2318,RELS2318,,"School of Arts, Humanities, and Technology"
RELS,RELS2V71,RELS2V71,,"School of Arts, Humanities, and Technology"
RELS,RELS3315,RELS3315,,"School of Arts, Humanities, and Technology"
RELS,RELS3316,RELS3316,,"School of Arts, Humanities, and Technology"
RELS,RELS3331,"RELS 3331 History of American Religion (3 semester credit hours) An examination of the development of American religious institutions and their relation to the nation's social, political, and cultural history. Prerequisite", Completion of a 060 core course. (Same as HIST 3364) (3-0) T,"School of Arts, Humanities, and Technology"
RELS,RELS3332,RELS 3332 Religion and Politics in Early America (3 semester credit hours) Historical explorations of the way that religion and politics shaped each other in the early United States. Prerequisite, Completion of a 060 core course. (Same as HIST 3363) (3-0) R,"School of Arts, Humanities, and Technology"
RELS,RELS3335,"RELS 3335 Jewish History (3 semester credit hours) This course will examine the profound transformation that Jews, as communities and individuals, experienced from the late eighteenth century to the postwar period while exploring the political and ideological, as well as cultural and religious developments. Central themes include the Jewish Enlightenment, the process of emancipation, religious reform, modern anti-Semitism, the Holocaust, Zionism, and the founding of the State of Israel. Prerequisite", Completion of a 060 core course. (Same as HIST 3349) (3-0) T,"School of Arts, Humanities, and Technology"
RELS,RELS3351,RELS3351,,"School of Arts, Humanities, and Technology"
RELS,RELS3358,RELS 3358 Contexts," Asian Religion in Literature (3 semester credit hours) A study of literary texts that use ideas and symbols from Asian religions such as Buddhism and Daoism in relation to the texts, traditions, and history of those religious traditions. (3-0) R","School of Arts, Humanities, and Technology"
RELS,RELS3363,"RELS 3363 Medieval Art and Architecture (3 semester credit hours) Studies in the art and architecture of medieval Europe and the Mediterranean. The course emphasizes the political, social, and religious foundations of Christian and Islamic art through discussions of mobility (travel, pilgrimage), media (the use of mosaic and bronze), worship (in cathedrals and mosques), and authority (in how divinity and kingship were understood). Prerequisite", Completion of 050 core. (Same as AHST 3313) (3-0) R,"School of Arts, Humanities, and Technology"
RELS,RELS3365,"RELS 3365 Renaissance Art and Architecture (3 semester credit hours) Studies in the art and architecture of Italy during the fourteenth, fifteenth, and sixteenth centuries. Special attention is devoted to the cities of Florence, Rome, and Venice. Topics include the role of politics, patronage, religious worship, the developing self-consciousness of the artist, and the importance of new techniques. Prerequisite", Completion of 050 core. (Same as AHST 3315) (3-0) T,"School of Arts, Humanities, and Technology"
RELS,RELS3366,"RELS 3366 Baroque Art and Architecture (3 semester credit hours) Studies in the art and architecture of the seventeenth century across Europe. The diverse social, political, and religious cultures of Italy, France, Spain, England, the Dutch Republic, and the Spanish Netherlands are discussed, with special emphasis upon the impact of Caravaggio, Bernini, Rubens, Velzquez, and Rembrandt. Prerequisite", Completion of 050 core. (Same as AHST 3316) (3-0) T,"School of Arts, Humanities, and Technology"
RELS,RELS3373,RELS3373,,"School of Arts, Humanities, and Technology"
RELS,RELS4332,"RELS 4332 Race in American Religion (3 semester credit hours) Examination of the history of race and religion in the United States, using analytic approaches such as critical race theory, social theory, or religious theory. May be repeated for credit as topics vary (6 semester credit hours maximum). Prerequisite", Completion of a 060 core course. (Same as HIST 4363) (3-0) R,"School of Arts, Humanities, and Technology"
RELS,RELS4333,RELS4333,,"School of Arts, Humanities, and Technology"
RELS,RELS4334,RELS4334,,"School of Arts, Humanities, and Technology"
RELS,RELS4375,RELS4375,,"School of Arts, Humanities, and Technology"
RELS,RELS4390,RELS4390,,"School of Arts, Humanities, and Technology"
RELS,RELS4V71,RELS4V71,,"School of Arts, Humanities, and Technology"
RHET,RHET1301,RHET1301,,"School of Arts, Humanities, and Technology"
RHET,RHET1302,RHET1302,,"School of Arts, Humanities, and Technology"
RHET,RHET2302,"RHET 2302 Intermediate Composition and Rhetoric (3 semester credit hours) Continued development of the grammatical, logical, and rhetorical skills necessary for university-level writing. Prerequisite", RHET 1302 or instructor consent required. (3-0) S,"School of Arts, Humanities, and Technology"
RHET,RHET4302,"RHET 4302 Advanced Writing and Research (3 semester credit hours) This course prepares students to practice advanced writing techniques as well as to research content and audience perspective. Students will study advanced style principles to create clear, concise content for professional and personal documents. Students will also learn about document development, advanced research methods, how to write and research in an ethical manner, and how to write on a collaborative basis. Prerequisites", (RHET 1302 and RHET 2302) or instructor consent required. (3-0) R,"School of Arts, Humanities, and Technology"
RHET,RHET4303,"RHET 4303 Advanced Editing (3 semester credit hours) This course prepares students to strengthen deliverables such as presentations and reports. Students will learn how to propose and manage projects, to create style guides and editing plans, to query authors, and to respectfully provide constructive criticism. Students will also consider management and processes related to editing a project as a team as well as those related to an individual editor. Prerequisites", (RHET 1302 and RHET 2302) or instructor consent required. (Same as COMM 4303) (3-0) R,"School of Arts, Humanities, and Technology"
RHET,RHET4310,"RHET 4310 Topics in Editing and Publishing (3 semester credit hours) Exploration of topics related to professional, academic/scholarly, and literary editing and publishing. May be repeated for credit as topics vary (6 semester credit hours maximum). Prerequisites", RHET 1302 and RHET 2310 or instructor consent required. (3-0) R,"School of Arts, Humanities, and Technology"
RHET,RHET4320,RHET4320,,"School of Arts, Humanities, and Technology"
RHET,RHET4395,RHET 4395 Internship (3 semester credit hours) Internship in professional and technical writing. Credit/No Credit only. Prerequisites, RHET 1302 and RHET 2310 and Program Head consent required. (3-0) R,"School of Arts, Humanities, and Technology"
SGNL,SGNL1301,SGNL1301,,
SGNL,SGNL1302,SGNL 1302 (SGNL 1302) Beginning American Sign Language II (3 semester credit hours) Continued development of basic receptive and expressive skills in American Sign Language; continued introduction to American Deaf Culture. Prerequisite, SGNL 1301 or instructor consent required. (3-0) Y,
SGNL,SGNL2301,SGNL 2301 (SGNL 2301) Intermediate American Sign Language I (3 semester credit hours) Review of Beginning American Sign Language I and II (or equivalent); development of intermediate-level receptive and expressive skills in American Sign Language; study of American Deaf Culture and its history. Prerequisite, SGNL 1302 or equivalent or instructor consent required. (3-0) Y,
SGNL,SGNL2302,SGNL 2302 (SGNL 2302) Intermediate American Sign Language II (3 semester credit hours) Continued development of intermediate-level receptive and expressive skills in American Sign Language; continued study of American Deaf Culture and its history. Prerequisite, SGNL 2301 or equivalent or instructor consent required. (3-0) Y,
SPAN,SPAN1311,"SPAN 1311 (SPAN 1411) Beginning Spanish I (3 semester credit hours) Development of basic skills in listening, speaking, reading, and writing within a cultural framework. Prerequisite", Equivalent based on placement exam score or instructor consent required. (3-0) S,"School of Arts, Humanities, and Technology"
SPAN,SPAN1312,"SPAN 1312 (SPAN 1412) Beginning Spanish II (3 semester credit hours) Continued development of basic skills in listening, speaking, reading, and writing within a cultural framework. Prerequisite", SPAN 1311 or equivalent based on placement exam score or instructor consent required. (3-0) S,"School of Arts, Humanities, and Technology"
SPAN,SPAN1613,"SPAN 1613 Intensive Beginning Spanish (6 semester credit hours) Development of basic skills in listening, speaking, reading, and writing within a cultural framework. Combines SPAN 1311 and SPAN 1312 in an intensive one-semester course. Prerequisite", Equivalent based on placement exam score or instructor consent required. (6-0) Y,"School of Arts, Humanities, and Technology"
SPAN,SPAN2310,SPAN 2310 (SPAN 2313) Spanish for Heritage Speakers (3 semester credit hours) For heritage speakers with little or no formal exposure to the language. Prerequisite, Equivalent based on placement exam score or instructor consent required. (3-0) R,"School of Arts, Humanities, and Technology"
SPAN,SPAN2311,"SPAN 2311 (SPAN 2311) Intermediate Spanish I (3 semester credit hours) Review of Beginning Spanish I and II (or equivalent); development of intermediate-level skills in listening, speaking, reading and writing within a cultural framework. Prerequisite", SPAN 1312 or equivalent based on placement exam or instructor consent required. (3-0) S,"School of Arts, Humanities, and Technology"
SPAN,SPAN2312,"SPAN 2312 (SPAN 2312) Intermediate Spanish II (3 semester credit hours) Continued development of intermediate-level skills in listening, speaking, reading, and writing within a cultural framework. Prerequisite", SPAN 2311 or equivalent based on placement exam or instructor consent required. (3-0) S,"School of Arts, Humanities, and Technology"
SPAN,SPAN2316,SPAN 2316 Topics in Spanish Culture (3 semester credit hours) Topics in the cultural diversity of the Spanish-speaking world. Prerequisite, SPAN 1312 or equivalent based on placement exam or instructor consent required. (3-0) Y,"School of Arts, Humanities, and Technology"
SPAN,SPAN2613,"SPAN 2613 Intensive Intermediate Spanish (6 semester credit hours) Development of intermediate-level skills in listening, speaking, reading and writing within a cultural framework. Combines SPAN 2311 and SPAN 2312 in an intensive one-semester course. Prerequisite", SPAN 1312 or equivalent based on placement exam or instructor consent required. (6-0) Y,"School of Arts, Humanities, and Technology"
SPAN,SPAN3311,"SPAN 3311 Advanced Spanish I (3 semester credit hours) Development of advanced-level fluency and accuracy in reading, writing, and conversation. Prerequisite", SPAN 2312 or equivalent based on placement exam or instructor consent required. (3-0) S,"School of Arts, Humanities, and Technology"
SPAN,SPAN3312,"SPAN 3312 Advanced Spanish II (3 semester credit hours) Continued development of advanced-level fluency and accuracy in reading, writing, and conversation. Prerequisite", SPAN 3311 or equivalent based on placement exam or instructor consent required. (3-0) S,"School of Arts, Humanities, and Technology"
SPAN,SPAN3316,SPAN 3316 Spanish Culture (3 semester credit hours) Introduction to Spanish and/or Latin American cultures. Conducted in Spanish with occasional use of English for clarification of difficult concepts only. May be repeated for credit as topics vary (9 semester credit hours maximum). Prerequisite, SPAN 2312 or equivalent or completion of the language placement exam or instructor consent required. (3-0) R,"School of Arts, Humanities, and Technology"
SPAN,SPAN3330,SPAN 3330 Medical Spanish (3 semester credit hours) Development of communication skills for interacting with Spanish speakers in a healthcare setting. Prerequisite, SPAN 2312 or equivalent based on placement exam or instructor consent required. (3-0) Y,"School of Arts, Humanities, and Technology"
SPAN,SPAN3350,SPAN 3350 Business Spanish (3 semester credit hours) Development of communication skills for interacting with Spanish speakers in a business setting. Prerequisite, SPAN 2312 or equivalent based on placement exam or instructor consent required. (3-0) Y,"School of Arts, Humanities, and Technology"
SPAN,SPAN3363,SPAN 3363 Spanish Composition and Style (3 semester credit hours) Development of formal writing skills for professional and academic settings. Prerequisite, SPAN 3311 or equivalent based on placement exam or instructor consent required. (3-0) R,"School of Arts, Humanities, and Technology"
SPAN,SPAN4301,SPAN 4301 Advanced Spanish Conversation (3 semester credit hours) Development of advanced oral communication skills. Prerequisite, SPAN 3312 or equivalent based on placement exam or instructor consent required. (3-0) Y,"School of Arts, Humanities, and Technology"
SPAN,SPAN4330,SPAN 4330 Medical Spanish Immersion (3 semester credit hours) Study abroad immersion experience for students interested in health care and medical terminology. Prerequisites, SPAN 2312 or equivalent based on placement exam and instructor consent required. (3-0) R,"School of Arts, Humanities, and Technology"
SPAN,SPAN4364,"SPAN 4364 Advanced Spanish Culture (3 semester credit hours) Exploration of Hispanic cultures as revealed in the visual arts, music, or film. Conducted in Spanish with occasional use of English for clarification of difficult concepts only. Prerequisite", SPAN 3312 or equivalent based on placement exam or instructor consent required. (3-0) Y,"School of Arts, Humanities, and Technology"
SPAN,SPAN4366,"SPAN 4366 Spanish and Latin American Literatures (3 semester credit hours) An introduction to the study of the literatures of Spain and Latin America through readings of representative texts from the medieval period to the present. Readings, lectures, and discussions in Spanish. Prerequisite", SPAN 3312 or equivalent based on placement exam score or instructor consent required. (3-0) R,"School of Arts, Humanities, and Technology"
SPAN,SPAN4367,"SPAN 4367 The History of the Spanish Language (3 semester credit hours) An introduction to the historical origins, formation, and development of the Spanish language in the Iberian Peninsula and the New World. Prerequisite"," SPAN 3312, or completion of the language placement exam or instructor consent required. (3-0) R","School of Arts, Humanities, and Technology"
THEA,THEA1310,THEA1310,,"School of Arts, Humanities, and Technology"
THEA,THEA1351,THEA1351,,"School of Arts, Humanities, and Technology"
THEA,THEA1352,"THEA 1352 (DRAM 1352) Acting 2 (3 semester credit hours) This course will continue the development of physical, emotional, and imaginative awareness as it applies to acting. The methods of creating character, text analysis, and performance techniques will be emphasized. Students will also be introduced to different styles of acting and improvisation. Material may focus on classic or contemporary drama or original creations and will include scene and monologue study and presentation. Prerequisite", THEA 1351 or instructor consent required. (0-3) T,"School of Arts, Humanities, and Technology"
THEA,THEA2311,THEA2311,,"School of Arts, Humanities, and Technology"
THEA,THEA2350,THEA2350,,"School of Arts, Humanities, and Technology"
THEA,THEA2364,THEA2364,,"School of Arts, Humanities, and Technology"
THEA,THEA2371,THEA2371,,"School of Arts, Humanities, and Technology"
THEA,THEA2372,THEA2372,,"School of Arts, Humanities, and Technology"
THEA,THEA2373,"THEA 2373 Languages of the Body (3 semester credit hours) Explores the fundamental principles and techniques of movement and/or voice systems and their relationship to diverse forms of theater, performance, media, and alternative staging. Presented in a participatory workshop setting. May be repeated for credit as topics vary (6 semester credit hours maximum). Prerequisite", THEA 1310 or instructor consent required. (0-3) R,"School of Arts, Humanities, and Technology"
THEA,THEA2V71,THEA2V71,,"School of Arts, Humanities, and Technology"
THEA,THEA3310,"THEA 3310 Theatre/Performance Ensemble (3 semester credit hours) This course is for people who are acting, producing, or managing a production. Time will be reserved for rehearsals, script analysis, concept design, and general studies. Additional rehearsals, outside of the assigned class time, will be necessary to produce the show. This course provides practical use of theatrical studies. May be repeated for credit as topics vary (9 semester credit hours maximum). Prerequisite", Audition or instructor consent required. (0-3) Y,"School of Arts, Humanities, and Technology"
THEA,THEA3311,"THEA 3311 Musical Theatre/Performance Ensemble (3 semester credit hours) This course is for people who are acting, producing, or managing a musical production. Time will be reserved for rehearsals, script analysis, conceptual design, and general studies. Additional rehearsals, outside of the assigned class time, will be necessary to produce the musical. This course provides practical use of theatrical studies but is geared more towards acting, singing, and dancing in a musical. May be repeated for credit as performances vary (9 semester credit hours maximum). Prerequisite", Audition and instructor consent required. (0-3) Y,"School of Arts, Humanities, and Technology"
THEA,THEA3320,THEA3320,,"School of Arts, Humanities, and Technology"
THEA,THEA3323,"THEA 3323 Performance in Historical Context (3 semester credit hours) Studies in theater and performance art. The course may consider eras such as Classical, Medieval, Renaissance, Realist, Contemporary, or Experimental Avant-Garde in the Western and Non-Western traditions. May be repeated for credit as topics vary (9 semester credit hours maximum). Prerequisite", THEA 1310 or instructor consent required. (3-0) Y,"School of Arts, Humanities, and Technology"
THEA,THEA3324,"THEA 3324 Technical Theatre 2 (3 semester credit hours) Designed to teach the advanced elements of theatrical skills, including lighting, sound, set, props, and costumes. Students will learn the foundations of the design process and how they apply to the completion of the production on stage. Practical work will apply with students required to attend weekly lectures and production lab hours. Prerequisite", THEA 2371 or instructor consent required. (0-3) Y,"School of Arts, Humanities, and Technology"
THEA,THEA3325,"THEA 3325 Directing (3 semester credit hours) This course presents the principles and working methods of directing theater performance and inter-media expressions. Emphasis will be on the development of skills required to bring a text or idea to presentation. Areas of focus will include imagination and conception, image and metaphor, analysis, planning, development-rehearsal process, and production. Will require out of class lab hours. Prerequisite", THEA 1351 or instructor consent required. (0-3) R,"School of Arts, Humanities, and Technology"
THEA,THEA3326,"THEA 3326 Musical Theatre Performance (3 semester credit hours) Musical Theatre Performance is an exploration of musical theatre in a studio workshop setting. This course will introduce students to the techniques used by actors/singers/dancers to play musical theater scenes and songs dynamically. Basic acting techniques will be taught as well as proficiency in singing, text analysis, movement, dance, specialty character performances, and speech. With guidance from the instructor(s), students will perform sections from notable Broadway musicals in groups and some solos. Students will also audition each week for specific roles in musicals with instructor(s) providing feedback and constructive criticism. May be repeated for credit as performances vary (9 semester credit hours maximum). Prerequisite", Audition and instructor consent required. (0-3) Y,"School of Arts, Humanities, and Technology"
THEA,THEA3342,THEA3342,,"School of Arts, Humanities, and Technology"
THEA,THEA3351,"THEA 3351 Light Design (3 semester credit hours) Students will learn the fundamentals of designing lighting for various events. Concerts, dance and theatrical productions will be covered. Proper procedures for creating a fully functional lighting design from concept and justification to plotting and implementation, color theory, texture, proper instrumentation, drafting, and justification are a few of the skills that students will learn through the course of the semester. Prerequisites", (THEA 1310 and THEA 3324) or instructor consent required. (3-0) R,"School of Arts, Humanities, and Technology"
THEA,THEA3352,"THEA 3352 Stage Management (3 semester credit hours) Practical aspects of stage management including organizing auditions, scheduling, running rehearsals, tech and performances, assembling a working prompt script, taking blocking notation, cuing, conducting production meetings, and calling a show. Prerequisite", THEA 2371 or instructor consent required. (0-3) Y,"School of Arts, Humanities, and Technology"
THEA,THEA3353,THEA3353,,"School of Arts, Humanities, and Technology"
THEA,THEA3356,THEA 3356 Acting 3 (3 semester credit hours) Material may focus on classic or contemporary drama or on original creations. May be repeated for credit as topics vary (9 semester credit hours maximum). Prerequisite, Audition or instructor consent required. (0-3) Y,"School of Arts, Humanities, and Technology"
THEA,THEA3361,THEA3361,,"School of Arts, Humanities, and Technology"
THEA,THEA3372,THEA 3372 Improvisation II (3 semester credit hours) This course builds on students' basic improvisation skills to create performances with nuance and depth. Students will explore comedic and dramatic improvisation that will lead to a better understanding of sketch structure and character enrichment. Prerequisite, THEA 2372 or instructor consent required. (0-3) Y,"School of Arts, Humanities, and Technology"
THEA,THEA3380,"THEA 3380 Theatre and Literature (3 semester credit hours) This course will cover various offerings in theater and performance literature, analysis, and criticism, including but not limited to world theatre and performance, contemporary European and American drama, contemporary women playwrights, gay and lesbian drama, Shakespeare and the Greeks, and performance studies. This course is reading, research, and writing intensive. May be repeated for credit (6 semester credit hours maximum). Prerequisite", THEA 1310 or instructor consent required. (3-0) R,"School of Arts, Humanities, and Technology"
THEA,THEA3V10,THEA3V10,,"School of Arts, Humanities, and Technology"
THEA,THEA4301,"THEA 4301 Acting for Film and Video (3 semester credit hours) The study and practice of principles of acting for film and video, including freeing the voice, movement and imagination, improvisation, script analysis, building a character, creating a role, monologues, scene study, and creating original work. Prerequisite", (THEA 1351 or equivalent) or instructor consent required. (0-3) Y,"School of Arts, Humanities, and Technology"
THEA,THEA4310,"THEA 4310 Theatre Internship (3 semester credit hours) Advanced students work with a professional theatre company or distinguished art institution in such capacities as are mutually agreed upon by the student, the company, and the student advisor. Students must develop, in conjunction with the instructor/advisor and responsible members of the professional theatre staff, a detailed proposal that includes a description of responsibilities, the extent of the commitment in terms of time, and the means by which a student is to be evaluated at the end of the internship. Prerequisites", (THEA 1351 and THEA 1352 and THEA 3356) or (THEA 2371 and THEA 3324 and THEA 3351) and instructor consent required. (3-0) R,"School of Arts, Humanities, and Technology"
THEA,THEA4342,"THEA 4342 Advanced Topics in Technical Theatre (3 semester credit hours) This course teaches students how to develop varied practical skills necessary for the design and execution of a theatrical production design. Topics may include set, costume, sound design, media design, make-up, and stage management. Students additionally will develop the ability to analyze a script, song, or score and translate the ideas therein into design concepts. May be repeated for credit (6 semester credit hours maximum). Prerequisites", (THEA 2371 and THEA 3324 and THEA 3351) or instructor consent required. (0-3) R,"School of Arts, Humanities, and Technology"
THEA,THEA4372,"THEA 4372 Improvisation III (3 semester credit hours) Building on the rules and skills learned in Improv II, this course will examine and refine skills in timing, execution, scene work, delivery, vocal quality, movement and the creative development of characters. Students will learn to master Improv and Acting concepts through continuous research and performance. Prerequisite", THEA 3372 or instructor consent required. (0-3) Y,"School of Arts, Humanities, and Technology"
THEA,THEA4V71,THEA 4V71 Independent Study in Theatre (1-3 semester credit hours) Independent study under a faculty member's direction. Signature of instructor and Associate Dean on proposed project outline required. May be repeated for credit (9 semester credit hours maximum). Prerequisites, Upper-division standing and instructor consent required. ([1-3]-0) R,"School of Arts, Humanities, and Technology"
URDU,URDU2310,URDU2310,,
VIET,VIET1311,VIET1311,,
VIET,VIET1312,"VIET 1312 Beginning Vietnamese II (3 semester credit hours) Continued development of basic skills in listening, speaking, reading, and writing within a cultural framework. Prerequisite", VIET 1311 or equivalent or instructor consent required. (3-0) Y,
VIET,VIET2310,VIET2310,,
VIET,VIET2311,"VIET 2311 Intermediate Vietnamese I (3 semester credit hours) Review of Beginning Vietnamese I and II (or equivalent); development of intermediate-level skills in listening, speaking, reading, and writing within a cultural framework. Prerequisite", VIET 1312 or equivalent or instructor consent required. (3-0) Y,
